abbreviation,full_name
《BMC Cancer》,BMC Cancer
„ÄäCancer Cell„Äã,Cancer Cell
„ÄäCancer Investigation„Äã,Cancer Investigation
„ÄäCancer Letters „Äã,Cancer Letters
„ÄäCancers„Äã,Cancers
„ÄäClin Cancer Res„Äã,Clinical Cancer Research
„ÄäColorectal Cancer „Äã,Colorectal Cancer
„ÄäGastric Cancer„Äã,Gastric Cancer
„ÄäMol Cancer Res„Äã,Molecular Cancer Research
„ÄäMolecular Cancer Therapeutics„Äã,Molecular Cancer Therapeutics
ANTICANCER RES.,Anticancer Research
Antisense: Chemical Modifications. Encyclopedia of Cancer,Encyclopedia of Cancer: Antisense and Chemical Modifications
Asian Pac J Cancer Prev,Asian Pacific Journal of Cancer Prevention
BR CANCER,Breast Cancer Research
Br J Cancer,British Journal of Cancer
Br J Cancer,British Journal of Cancer
BR. 1. CANCER,British Journal of Cancer
Br. J. Cancer,British Journal of Cancer
BR. J. CANCER,British Journal of Cancer
BR. J. CANCER,No response
BREAST CANCER RES,Breast Cancer Research
BREAST CANCER RES,Breast Cancer Research
BREAST CANCER RES. TREAT.,Breast Cancer Research. Treatment
"BREAST CANCER RESEARCH, CURRENT MEDICINE GROUP LTD, GB",Breast Cancer Research
Brit. J. Cancer,British Journal of Cancer
BRITISH JOURNAL OF CANCER,British Journal of Cancer
British Journal of Cancer,British Journal of Cancer
BRITISH JOURNAL OF CANCER,British Journal of Cancer
BRITISH JOURNAL OF CANCER,British Journal of Cancer
"BRITISH JOURNAL OF CANCER, NATURE PUBLISHING GROUP, LONDON, GB",British Journal of Cancer
CANCER,Cancer
CANCER,Cancer
CANCER,Cancer
CANCER,Cancer
CANCER AND METASTASIS REVIEWS,Cancer and Metastasis Reviews
CANCER BIOLOGY & THERAPY,Cancer Biology & Therapy
CANCER BIOTHER. RADIOPHARM.,Cancer Biotherapy and Radiopharmaceuticals
Cancer Cell,Cancer Cell
CANCER CELL,Cancer Cell
CANCER CHEMOTHER. PHARMACOL.,Cancer Chemotherapy and Pharmacology
CANCER CONTROL,Cancer Control
CANCER DETECT PREV.,Cancer Detection and Prevention
CANCER DISCOV,Cancer Discovery
Cancer Discovery,Cancer Discovery
CANCER DISCOVERY,Cancer Discovery
Cancer Discovery,"Cancer Epidemiology, Biomarkers and Prevention"
CANCER EPIDEMIOL BIOMARKERS PREV,"Cancer Epidemiology, Biomarkers and Prevention"
"CANCER EPIDEMIOLOGY, BIOMARKERS AND PREVENTION.",Cancer Gene Therapy
CANCER GENE THER,Cancer Genetics and Cytogenetics
Cancer Genet Cytogenet,No response
Cancer Genetics and Cytogenetics,Cancer Genetics and Cytogenetics
Cancer Imaging,Cancer Imaging
CANCER IMMUNOL. IMMUNOTHER.,Cancer Immunology and Immunotherapy
CANCER IMMUNOL. IMMUNOTHER.,Cancer Immunology and Immunotherapy
CANCER IMMUNOL. IMMUNOTHER.,Cancer Immunology and Immunotherapy
"CANCER IMMUNOLOGY AND IMMUNOTHERAPY, SPRINGER-VERLAG, BERLIN, DE",Cancer Immunology and Immunotherapy
CANCER IMMUNOLOGY RESEARCH,Cancer Immunology Research
"CANCER IMMUNOLOGY, IMMUNOTHERAPY, SPRINGER, BERLIN, DE",Cancer Immunology and Immunotherapy
Cancer Investigation (Genitourinary Cancer),Cancer Investigation
Cancer J,Cancer Journal
Cancer Letter,Cancer Letter
Cancer Letters,Cancer Letters
CANCER LETTERS,Cancer Letters
CANCER LETTERS 30 AUG 2004 LNKD- PUBMED:15279905,Cancer Letters
"CANCER LETTERS, NEW YORK, NY, US",Cancer Letters
"Cancer Medicine, John Wiley & Sons Ltd., GB",Cancer Medicine
CANCER METASTASIS REV,Cancer Metastasis Reviews
CANCER RES,Cancer Research
Cancer Res,Cancer Research
CANCER RES,No response
CANCER RES,Cancer Research
CANCER RES,No response
CANCER RES,No response
CANCER RES,No response
CANCER RES,No response
Cancer Res,No response
CANCER RES,No response
CANCER RES,No response
Cancer Res,No response
Cancer Res,No response
CANCER RES,Cancer Research
CANCER RES,No response
CANCER RES,No response
Cancer Res.,No response
Cancer Res.,No response
CANCER RES.,No response
CANCER RES.,No response
CANCER RES.,No response
CANCER RES.,No response
Cancer Res.,No response
CANCER RES.,Cancer Research
Cancer Res.,No response
Cancer Res.,No response
CANCER RES.,No response
CANCER RES.,No response
CANCER RES.,No response
CANCER RES.,No response
CANCER RES.,No response
CANCER RES.,No response
Cancer Res.,No response
CANCER RES.,Cancer Research
CANCER RES.,Cancer Research
"CANCER RES. (1994), 54(10), 2643-9 CODEN: CNREA8;ISSN: 0008-5472",Cancer Research
CANCER RESEARCH,Cancer Research
CANCER RESEARCH,Cancer Research
CANCER RESEARCH,Cancer Research
CANCER RESEARCH,Cancer Research
Cancer Research,Cancer Research
CANCER RESEARCH,Cancer Research
CANCER RESEARCH,Cancer Research
Cancer Research,Cancer Research
CANCER RESEARCH,Cancer Research
CANCER RESEARCH,Cancer Research
CANCER RESEARCH,Cancer Research
CANCER RESEARCH,Cancer Research
Cancer Research,Cancer Research
CANCER RESEARCH,Cancer Research
"CANCER RESEARCH , 18, 445-56 CODEN: CNREA8; ISSN: 0008-5472",American Association for Cancer Research
Cancer Research [on line],Cancer Research
"CANCER RESEARCH, (01 JUN 1995) VOL. 55, NO. 11, PP. 2484.",Cancer Research
"CANCER RESEARCH, AMERICAN ASSOCIATION FOR CANCER RESEARCH, BALTIMORE, MD",Cancer Research
"CANCER RESEARCH, AMERICAN ASSOCIATION FOR CANCER RESEARCH, BALTIMORE, MD",Cancer Research
"CANCER RESEARCH, AMERICAN ASSOCIATION FOR CANCER RESEARCH, US",Cancer Research
CANCER RESEARCH. 15 APR 2004,Cancer Research
CANCER SCI.,Cancer Science
Cancer Therapy: Molecular Tumor. Horizon Bioscience,Cancer Therapy: Molecular Tumor
CANCER TREAT REP,Cancer Treatment Reports
"CANCER TREATMENT REVIEWS, ELSEVIER, AMSTERDAM, NL",Cancer Treatment Reviews
"CANCER, AMERICAN CANCER SOCIETY, PHILADELPHIA, PA, US",Cancer
Clin Cancer Res,Clinical Cancer Research
CLIN CANCER RES,Clin Cancer Research
Clin Cancer Res,Clin Cancer Research
Clin Cancer Res,Clin Cancer Research
Clin Cancer Res,Clin Cancer Research
CLIN CANCER RES.,Clin Cancer Research
Clin Cancer Res.,Clin Cancer Research
CLIN LUNG CANCER,Clin Lung Cancer
CLIN. CANCER RES,Clinical Cancer Research
Clin. Cancer Res.,Clinical Cancer Research
CLIN. CANCER RES.,Clinical Cancer Research
CLINICAL CANCER RES.,Clinical Cancer Research
CLINICAL CANCER RESEARCH,Clinical Cancer Research
CLINICAL CANCER RESEARCH,Clinical Cancer Research
CLINICAL CANCER RESEARCH,Clinical Cancer Research
CLINICAL CANCER RESEARCH,Clinical Cancer Research
CLINICAL CANCER RESEARCH,Clinical Cancer Research
CLINICAL CANCER RESEARCH : AN OFFICIAL JOURNAL OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH,Clinical Cancer Research: An Official Journal of the American Association for Cancer Research
CLINICAL CANCER RESEARCH : AN OFFICIAL JOURNAL OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH 1 MAR 2004,Clinical Cancer Research: An Official Journal of the American Association for Cancer Research
"CLINICAL CANCER RESEARCH, THE AMERICAN ASSOCIATION FOR CANCER RESEARCH","Clinical Cancer Research, The American Association for Cancer Research"
CURRENT CANCER DRUG TARGETS,Current Cancer Drug Targets
"CURRENT PROBLEMS IN CANCER, MOSBY, ST LOUIS, MO, US",CURRENT PROBLEMS IN CANCER
DAI 18 KAI GAKUJUTSU SHUKAI PROGRAM SHOROKUSHU THE JAPANESE ASSOCIATION FOR MOLECULAR TARGET THERAPY OF CANCER,DAI 18 KAI GAKUJUTSU SHUKAI PROGRAM SHOROKUSHU THE JAPANESE ASSOCIATION FOR MOLECULAR TARGET THERAPY OF CANCER
ENDOCR RELAT CANCER,ENDOCRINE-RELATED CANCER
Eur. J. Cancer,European Journal of Cancer
European Journal of Cancer,European Journal of Cancer Supplements Proceedings of the 16th EORTC-NCI-AACR Symposium on Molecular Targets and Cancer Therapeutics
"EUROPEAN JOURNAL OF CANCER SUPPLEMENTS, PROCEEDINGS OF THE 16TH EORTC-NCI-AACR SYMPOSIUM ON MOLECULAR TARGETS AND CANCER THERAPEUTICS",European Journal of Cancer Supplement Pergamon Oxford GB
"EUROPEAN JOURNAL OF CANCER. SUPPLEMENT, PERGAMON, OXFORD, GB",European Journal of Cancer Supplement Pergamon Oxford GB
"EUROPEAN JOURNAL OF CANCER. SUPPLEMENT, PERGAMON, OXFORD, GB",Expert Review of Anticancer Therapy
Expert Rev. Anticancer,Expert Review of Anticancer Therapy
Expert Rev. Anticancer Ther.,No response
HCANCER IMMUNOL IMMUNOTHER.H,Integrative Cancer Therapies
INI J CANCER.,Int J Cancer
Int J Cancer,Int J Cancer
INT J CANCER,Int J Cancer
INT J CANCER,Int J Cancer
INT J CANCER.,Int J Cancer
INT. J. CANCER,Int J Cancer
INT. J. CANCER,Int J Cancer
INT. J. CANCER,Int J Cancer
INTEGRATIVE CANCER THERAPIES,Int J Cancer
INTERNATIONAL JOURNAL OF CANCER,International Journal of Cancer
INTERNATIONAL JOURNAL OF CANCER,International Journal of Cancer
INTERNATIONAL JOURNAL OF CANCER,International Journal of Cancer
International Journal of Cancer,International Journal of Cancer
"INTERNATIONAL JOURNAL OF CANCER, JOHN WILEY & SONS, INC, US","International Journal of Cancer, John Wiley & Sons, Inc, US"
J Cancer Res Clin Oncol.,Journal of Cancer Research Clin Oncol
J NATL CANCER INST,Journal of National Cancer Institute
J NATL CANCER INST,Journal of National Cancer Institute
J Natl Cancer Inst,Journal of National Cancer Institute
JAPANESE JOURNAL OF CANCER RESEARCH,Japanese Journal of Cancer Research
JOURNAL OF CANCER,Here is the output:
JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY,Journal of Cancer
JOURNAL OF NATIONAL CANCER INSTITUTE.,Journal of Cancer Research and Clinical Oncology
JOURNAL OF THE NATIONAL CANCER INSTITUTE 16 JUN 2010 LNKD- PUBMED:20463307,Journal of the National Cancer Institute
Jpn. J. Cancer Res.,Japanese Journal of Cancer Research
LIPOSOMES IN THE THARAPY OF INFECTIOUS DISEASE ANDCANCER,Liposomes in the Therapy of Infectious Disease and Cancer
LUNG CANCER,Lung Cancer
MOL CANCER THER,Molecular Cancer Therapeutics
MOLECULAR CANCER THERAPEUTICS,Molecular Cancer Therapeutics
MOLECULAR CANCER THERAPEUTICS,No response
"Molecular Diagnosis of Cancer, Methods and Protocols, 2nd ed.;","Molecular Diagnosis of Cancer, Methods and Protocols, 2nd ed."
NAT. REV. CANCER,Nature Reviews Cancer
Nat. Rev. Cancer,Nature Reviews Cancer
NAT. REV. CANCER,Nature Reviews Cancer
NAT. REV. CANCER,Nature Reviews Cancer
NATURE REVIEWS. CANCER,Nature Reviews Cancer
PROC. AMER ASSOC. CANCER RES. MEETING ABSTRACTS,Proceedings of the American Association for Cancer Research
PROCEEDINGS OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH,Proceedings of the American Association for Cancer Research
PROCEEDINGS OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH ANNUAL MEETING,Proceedings of the American Association for Cancer Research Annual Meeting
PROCEEDINGS OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH ANNUAL MEETING,Proceedings of the American Association for Cancer Research Annual Meeting
