abbreviation,,similarity
《BMC Cancer》,BMC CANCER,100.00
„ÄäCancer Cell„Äã,CANCER CELL,100.00
„ÄäCancer Investigation„Äã,CANCER INVESTIGATION,100.00
„ÄäCancer Letters „Äã,CANCER LETTERS,100.00
„ÄäCancers„Äã,CANCERS,100.00
„ÄäClin Cancer Res„Äã,CLINICAL CANCER RESEARCH,78.79
„ÄäColorectal Cancer „Äã,COLORECTAL DISEASE,81.86
„ÄäGastric Cancer„Äã,GASTRIC CANCER,100.00
„ÄäMol Cancer Res„Äã,MOLECULES,44.44
„ÄäMolecular Cancer Therapeutics„Äã,MOLECULAR CANCER THERAPEUTICS,100.00
ANTICANCER RES.,ANTICANCER RESEARCH,100.00
Antisense: Chemical Modifications. Encyclopedia of Cancer,ANAESTHESIA AND INTENSIVE CARE,13.26
Asian Pac J Cancer Prev,ANTICANCER RESEARCH,51.27
BR CANCER,CANCER,93.06
Br J Cancer,CANCER,79.63
Br J Cancer,CANCER,79.63
BR. 1. CANCER,BMC CANCER,92.59
Br. J. Cancer,BMC CANCER,92.59
BR. J. CANCER,BMC CANCER,92.59
BR. J. CANCER,BMC CANCER,92.59
BREAST CANCER RES,BREAST CANCER RESEARCH,100.00
BREAST CANCER RES,BREAST CANCER RESEARCH,100.00
BREAST CANCER RES. TREAT.,BREAST CANCER RESEARCH,100.00
"BREAST CANCER RESEARCH, CURRENT MEDICINE GROUP LTD, GB",BREAST CANCER RESEARCH AND TREATMENT,63.91
Brit. J. Cancer,BREAST CANCER,80.05
BRITISH JOURNAL OF CANCER,BRITISH JOURNAL OF CANCER,100.00
British Journal of Cancer,BRITISH JOURNAL OF CANCER,100.00
BRITISH JOURNAL OF CANCER,BRITISH JOURNAL OF CANCER,100.00
BRITISH JOURNAL OF CANCER,BRITISH JOURNAL OF CANCER,100.00
"BRITISH JOURNAL OF CANCER, NATURE PUBLISHING GROUP, LONDON, GB",BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,48.62
CANCER,CANCER,100.00
CANCER,CANCER,100.00
CANCER,CANCER,100.00
CANCER,CANCER,100.00
CANCER AND METASTASIS REVIEWS,CANCER AND METASTASIS REVIEWS,100.00
CANCER BIOLOGY & THERAPY,CANCER BIOLOGY & THERAPY,100.00
CANCER BIOTHER. RADIOPHARM.,CANCER BIOLOGY & MEDICINE,59.21
Cancer Cell,CANCER CELL,100.00
CANCER CELL,CANCER CELL,100.00
CANCER CHEMOTHER. PHARMACOL.,CANCER CHEMOTHERAPY AND PHARMACOLOGY,86.87
CANCER CONTROL,CANCER CONTROL,100.00
CANCER DETECT PREV.,CANCER TREATMENT REVIEWS,61.93
CANCER DISCOV,CANCER DISCOVERY,100.00
Cancer Discovery,CANCER DISCOVERY,100.00
CANCER DISCOVERY,CANCER DISCOVERY,100.00
Cancer Discovery,CANCER DISCOVERY,100.00
CANCER EPIDEMIOL BIOMARKERS PREV,CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,84.21
"CANCER EPIDEMIOLOGY, BIOMARKERS AND PREVENTION.",CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,100.00
CANCER GENE THER,CANCER GENE THERAPY,100.00
Cancer Genet Cytogenet,CANCER GENE THERAPY,72.35
Cancer Genetics and Cytogenetics,CYTOGENETIC AND GENOME RESEARCH,64.86
Cancer Imaging,CANCER IMAGING,100.00
CANCER IMMUNOL. IMMUNOTHER.,CANCER IMMUNOLOGY IMMUNOTHERAPY,88.51
CANCER IMMUNOL. IMMUNOTHER.,CANCER IMMUNOLOGY IMMUNOTHERAPY,88.51
CANCER IMMUNOL. IMMUNOTHER.,CANCER IMMUNOLOGY IMMUNOTHERAPY,88.51
"CANCER IMMUNOLOGY AND IMMUNOTHERAPY, SPRINGER-VERLAG, BERLIN, DE",CANCER IMMUNOLOGY IMMUNOTHERAPY,41.63
CANCER IMMUNOLOGY RESEARCH,CANCER IMMUNOLOGY RESEARCH,100.00
"CANCER IMMUNOLOGY, IMMUNOTHERAPY, SPRINGER, BERLIN, DE",CANCER IMMUNOLOGY IMMUNOTHERAPY,78.65
Cancer Investigation (Genitourinary Cancer),CLINICAL GENITOURINARY CANCER,70.44
Cancer J,CANCER,100.00
Cancer Letter,CANCER LETTERS,100.00
Cancer Letters,CANCER LETTERS,100.00
CANCER LETTERS,CANCER LETTERS,100.00
CANCER LETTERS 30 AUG 2004 LNKD- PUBMED:15279905,CANCER RESEARCH AND TREATMENT,20.77
"CANCER LETTERS, NEW YORK, NY, US",CANCER TREATMENT REVIEWS,49.62
"Cancer Medicine, John Wiley & Sons Ltd., GB",CANCER CELL INTERNATIONAL,36.01
CANCER METASTASIS REV,CANCER AND METASTASIS REVIEWS,89.74
CANCER RES,CANCER RESEARCH,95.24
Cancer Res,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
Cancer Res,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
Cancer Res,CANCER RESEARCH,95.24
Cancer Res,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
